,index,regione,data_inizio,data_fine,livello,zona
0,14,Abruzzo,2020-11-10 00:00:00.000000,2020-11-22 00:00:00.000000,regionale,arancione
1,28,Abruzzo,2020-11-22 00:00:00.000000,2020-12-06 00:00:00.000000,regionale,rossa
2,44,Abruzzo,2020-12-06 00:00:00.000000,2020-12-13 00:00:00.000000,regionale,rossa
3,58,Abruzzo,2020-12-13 00:00:00.000000,2020-12-24 00:00:00.000000,regionale,arancione
4,67,Abruzzo,2020-12-24 00:00:00.000000,2020-12-28 00:00:00.000000,nazionale,rossa
5,70,Abruzzo,2020-12-28 00:00:00.000000,2020-12-31 00:00:00.000000,nazionale,arancione
6,68,Abruzzo,2020-12-31 00:00:00.000000,2021-01-04 00:00:00.000000,nazionale,rossa
7,71,Abruzzo,2021-01-04 00:00:00.000000,2021-01-05 00:00:00.000000,nazionale,arancione
8,69,Abruzzo,2021-01-05 00:00:00.000000,2021-01-07 00:00:00.000000,nazionale,rossa
9,72,Abruzzo,2021-01-07 00:00:00.000000,2021-01-09 00:00:00.000000,nazionale,gialla
10,73,Abruzzo,2021-01-09 00:00:00.000000,2021-01-10 00:00:00.000000,nazionale,arancione
11,83,Abruzzo,2021-01-10 00:00:00.000000,2021-01-17 00:00:00.000000,regionale,gialla
12,105,Abruzzo,2021-01-17 00:00:00.000000,2021-02-01 00:00:00.000000,regionale,arancione
13,125,Abruzzo,2021-02-01 00:00:00.000000,2021-02-14 00:00:00.000000,regionale,gialla
14,141,Abruzzo,2021-02-14 00:00:00.000000,2021-03-01 00:00:00.000000,regionale,arancione
15,150,Abruzzo,2021-03-01 00:00:00.000000,2021-03-15 00:00:00.000000,regionale,arancione
0,17,Basilicata,2020-11-10 00:00:00.000000,2020-11-24 00:00:00.000000,regionale,arancione
1,32,Basilicata,2020-11-24 00:00:00.000000,2020-12-06 00:00:00.000000,regionale,arancione
2,45,Basilicata,2020-12-06 00:00:00.000000,2020-12-13 00:00:00.000000,regionale,arancione
3,59,Basilicata,2020-12-13 00:00:00.000000,2020-12-24 00:00:00.000000,regionale,gialla
4,67,Basilicata,2020-12-24 00:00:00.000000,2020-12-28 00:00:00.000000,nazionale,rossa
5,70,Basilicata,2020-12-28 00:00:00.000000,2020-12-31 00:00:00.000000,nazionale,arancione
6,68,Basilicata,2020-12-31 00:00:00.000000,2021-01-04 00:00:00.000000,nazionale,rossa
7,71,Basilicata,2021-01-04 00:00:00.000000,2021-01-05 00:00:00.000000,nazionale,arancione
8,69,Basilicata,2021-01-05 00:00:00.000000,2021-01-07 00:00:00.000000,nazionale,rossa
9,72,Basilicata,2021-01-07 00:00:00.000000,2021-01-09 00:00:00.000000,nazionale,gialla
10,73,Basilicata,2021-01-09 00:00:00.000000,2021-01-10 00:00:00.000000,nazionale,arancione
11,84,Basilicata,2021-01-10 00:00:00.000000,2021-01-16 00:00:00.000000,regionale,gialla
12,113,Basilicata,2021-01-16 00:00:00.000000,2021-03-01 00:00:00.000000,regionale,gialla
13,156,Basilicata,2021-03-01 00:00:00.000000,2021-03-15 00:00:00.000000,regionale,rossa
0,3,Calabria,2020-11-06 00:00:00.000000,2020-11-20 00:00:00.000000,regionale,rossa
